CD_DIST,NM_DIST,M >= 70 ANOS,F >= 70 ANOS,AREA_KM2,POP_TOTAL
150500710,Timboteua,12,0,"160,9278527",3545
150503105,Novo Progresso,19,0,"32354,4703611",31207
150503110,Mil,0,0,"5807,5321738",2431
150506405,Novo Repartimento,80,0,"4506,7102556",32967
150506410,Belo Monte do Pará,7,0,"3578,3610605",5713
150506420,Maracajá,23,0,"4756,9292429",14376
150506440,Vitória da Conquista,5,0,"2556,7350025",7676
150510605,Óbidos,228,0,"28010,0006247",52229
150520505,Oeiras do Pará,64,0,"3852,2906251",33844
150530405,Oriximiná,216,0,"107613,6292521",68294
150540305,Ourém,57,0,"561,7097397",17855
150543705,Ourilândia do Norte,28,0,"14410,5665781",32467
150548605,Pacajá,69,0,"6480,5284362",30595
150548610,Bom Jardim,14,0,"5351,7944142",10502
150549405,Palestina do Pará,29,0,"984,3621892",6885
150550205,Paragominas,139,3,"19342,5649087",105550
150553605,Parauapebas,228,0,"6885,8653400",267836
150555105,Pau D'Arco,28,0,"1671,4184641",6931
150560105,Peixe-Boi,22,0,"198,3479971",5245
150560110,Tauarizinho,15,0,"251,8759895",3040
150563505,Piçarra,20,0,"3312,7085787",12832
150565005,Placas,22,0,"7173,1995052",18668
150570005,Ponta de Pedras,95,0,"3363,7432251",24984
150580905,Portel,117,0,"25386,1581012",62503
150590805,Porto de Moz,60,0,"13075,3355066",34662
150590810,Veiros,0,0,"3568,3656888",3180
150590815,Vilarinho do Monte,0,0,"778,6281423",2755
150600505,Prainha,65,0,"7787,3553238",23601
150600510,Pacoval,14,0,"4886,9431455",4222
150600525,Santa Maria do Uruará,4,0,"2113,8905529",7754
150610405,Primavera,63,0,"259,3305174",10851
150611205,Quatipuru,39,0,"137,7738088",7059
150611210,Boa Vista,23,0,"164,8118235",4465
150613805,Redenção,279,0,"3823,8089223",85597
150616105,Rio Maria,81,0,"4114,6272666",18384
150618705,Rondon do Pará,133,0,"8246,3944070",53143
150619505,Rurópolis,63,0,"4540,3219281",26722
150619515,Divinópolis,8,0,"2480,9986162",9047
150620305,Salinópolis,174,0,"226,1201372",44772
150630205,Salvaterra,34,0,"521,2984611",15580
150630210,Condeixa,9,0,"105,8342942",2619
150630215,Joanes,13,0,"149,4792516",2705
150630220,Jubim,6,0,"40,6159240",1978
150630225,Monsarás,0,0,"101,3349106",1247
150635105,Santa Bárbara do Pará,67,0,"278,1539080",21087
150640105,Santa Cruz do Arari,25,0,"1076,6516036",7445
150650005,Santa Izabel do Pará,120,0,"111,5326968",46731
150650010,Americano,30,0,"144,8024773",16621
150650015,Caraparu,15,0,"461,3272160",9667
150655905,Santa Luzia do Pará,66,0,"1346,5024048",20370
150658305,Santa Maria das Barreiras,12,0,"3616,0950939",3103
150658310,Casa de Tábua,26,0,"3352,3615008",8764
150658315,Nova Esperança,15,0,"3361,7576771",4681
150660905,Santa Maria do Pará,81,0,"457,7244341",24624
150670805,Santana do Araguaia,54,0,"11591,4408634",32413
150680705,Santarém,979,0,"4730,9107910",290166
150680710,Alter do Chão,23,0,"1791,7076680",9834
150680725,Boim,23,0,"9100,5467498",10574
150680730,Curuai,53,0,"1421,3955887",17248
150680740,Arapixuna,6,0,"854,6769132",4120
150690605,Santarém Novo,25,0,"229,5095978",6116
150700305,Santo Antônio do Tauá,70,0,"222,0160938",17604
150700310,Espírito Santo do Tauá,12,0,"97,3362749",4038
150700315,São Raimundo de Borralhos,30,0,"218,2654625",5819
150710205,São Caetano de Odivelas,56,0,"219,0069219",13715
150710210,Perseverança,15,0,"245,1587919",2951
150715105,São Domingos do Araguaia,73,3,"1392,4642814",21092
150720105,São Domingos do Capim,75,3,"1686,7646625",30599
150730005,São Félix do Xingu,59,0,"56939,9797528",38730
150730020,Sudoeste,0,0,"4816,9808043",3048
150730025,Taboca,7,0,"8893,7211741",13458
150730030,Vila Ladeira Vermelha,0,0,"4229,0840943",3364
150730035,Vila Lindoeste,0,0,"3090,1257868",2803
150730040,Vila Nereu,0,0,"6243,0093853",4015
150740905,São Francisco do Pará,60,0,"479,4411938",14894
